発電所コード,エリア,発電所名,ユニット名,発電方式・燃種,対象日,00:30[kWh],01:00[kWh],01:30[kWh],02:00[kWh],02:30[kWh],03:00[kWh],03:30[kWh],04:00[kWh],04:30[kWh],05:00[kWh],05:30[kWh],06:00[kWh],06:30[kWh],07:00[kWh],07:30[kWh],08:00[kWh],08:30[kWh],09:00[kWh],09:30[kWh],10:00[kWh],10:30[kWh],11:00[kWh],11:30[kWh],12:00[kWh],12:30[kWh],13:00[kWh],13:30[kWh],14:00[kWh],14:30[kWh],15:00[kWh],15:30[kWh],16:00[kWh],16:30[kWh],17:00[kWh],17:30[kWh],18:00[kWh],18:30[kWh],19:00[kWh],19:30[kWh],20:00[kWh],20:30[kWh],21:00[kWh],21:30[kWh],22:00[kWh],22:30[kWh],23:00[kWh],23:30[kWh],24:00[kWh],日量[kWh],更新日時
29538,東北,東北電力上越火力発電所１号機,１号機,火力（ガス）,2025-07-23,248000.0,268000.0,269000.0,267000.0,266000.0,273000.0,274000.0,274000.0,273000.0,272000.0,271000.0,262000.0,267000.0,263000.0,223000.0,229000.0,265000.0,270000.0,263000.0,269000.0,258000.0,267000.0,253000.0,245000.0,185000.0,182000.0,249000.0,269000.0,251000.0,267000.0,268000.0,267000.0,267000.0,245000.0,183000.0,169000.0,201000.0,257000.0,270000.0,271000.0,270000.0,270000.0,272000.0,269000.0,270000.0,272000.0,271000.0,268000.0,12252000.0,2025/07/24 15:30:13
2K218,東北,東北電力仙台火力発電所４号機,４号機,火力（ガス）,2025-07-23,132000.0,95000.0,92000.0,89000.0,89000.0,87000.0,89000.0,88000.0,89000.0,89000.0,95000.0,90000.0,89000.0,90000.0,91000.0,90000.0,100000.0,144000.0,102000.0,93000.0,98000.0,91000.0,93000.0,90000.0,88000.0,91000.0,96000.0,96000.0,116000.0,172000.0,181000.0,201000.0,188000.0,181000.0,166000.0,162000.0,181000.0,152000.0,153000.0,186000.0,202000.0,207000.0,188000.0,193000.0,183000.0,166000.0,98000.0,55000.0,5997000.0,2025/07/24 15:30:13
2A129,東北,東北電力八戸火力発電所５号機,５号機,火力（ガス）,2025-07-23,153000.0,160000.0,132000.0,151000.0,119000.0,131000.0,130000.0,131000.0,138000.0,158000.0,165000.0,137000.0,163000.0,154000.0,155000.0,106000.0,154000.0,175000.0,172000.0,182000.0,118000.0,109000.0,89000.0,98000.0,86000.0,93000.0,116000.0,165000.0,164000.0,172000.0,172000.0,168000.0,176000.0,162000.0,169000.0,171000.0,167000.0,169000.0,164000.0,180000.0,170000.0,177000.0,167000.0,172000.0,177000.0,173000.0,173000.0,157000.0,7240000.0,2025/07/24 15:30:13
2K219,東北,東北電力新仙台火力発電所３号系列,３-１号機,火力（ガス）,2025-07-23,200499.0,206000.0,178499.0,205500.0,155500.0,155000.0,159500.0,162500.0,174499.0,201502.0,205000.0,176502.0,178499.0,140500.0,140000.0,130500.0,154500.0,228500.0,209500.0,197000.0,180500.0,180500.0,144500.0,161500.0,134500.0,137000.0,180500.0,228500.0,212502.0,235499.0,228499.0,240000.0,231500.0,233500.0,231499.0,220500.0,223500.0,214000.0,213500.0,237499.0,238500.0,238499.0,237000.0,238499.0,238498.0,238500.0,232499.0,211000.0,9501993.0,2025/07/24 15:30:13
2K219,東北,東北電力新仙台火力発電所３号系列,３-２号機,火力（ガス）,2025-07-23,198502.0,206000.0,177502.0,204500.0,154500.0,154000.0,159500.0,161500.0,172502.0,201499.0,203000.0,177499.0,176502.0,139500.0,139000.0,130500.0,153500.0,227500.0,208500.0,196000.0,180500.0,179500.0,143500.0,160500.0,134500.0,136000.0,179500.0,227500.0,212499.0,233502.0,226502.0,239000.0,231500.0,232500.0,229502.0,219500.0,222500.0,214000.0,212500.0,235502.0,238500.0,236502.0,236000.0,236502.0,235503.0,237500.0,230502.0,212000.0,9455022.0,2025/07/24 15:30:13
2V402,東北,東北電力東新潟火力発電所３号系列,３-１号系列,火力（ガス）,2025-07-23,145745.0,111597.0,100149.0,105857.0,105049.0,106026.0,105857.0,106197.0,106843.0,106036.0,107023.0,107013.0,105857.0,106026.0,106031.0,106036.0,105862.0,107051.0,107996.0,106858.0,101962.0,98351.0,97855.0,131166.0,148136.0,144973.0,143837.0,142277.0,146690.0,151556.0,189286.0,214855.0,256719.0,262489.0,255329.0,268661.0,235810.0,144129.0,147936.0,147718.0,155529.0,153570.0,144769.0,143206.0,146226.0,111154.0,111992.0,118599.0,6679889.0,2025/07/24 15:30:13
2V402,東北,東北電力東新潟火力発電所３号系列,３-２号系列,火力（ガス）,2025-07-23,144773.0,110626.0,100148.0,104884.0,104075.0,105053.0,104884.0,104247.0,105870.0,105062.0,106049.0,105067.0,104884.0,105053.0,105058.0,105062.0,104889.0,106077.0,106049.0,105885.0,100990.0,97377.0,94947.0,121450.0,145212.0,143027.0,143837.0,141302.0,146690.0,150578.0,189285.0,212891.0,255734.0,259539.0,253364.0,264723.0,233844.0,143148.0,147935.0,147717.0,154550.0,153569.0,143790.0,143205.0,145250.0,113104.0,111991.0,119563.0,6622307.0,2025/07/24 15:30:13
2V403,東北,東北電力東新潟火力発電所４号系列,４-１号系列,火力（ガス）,2025-07-23,202100.0,207667.0,204186.0,202971.0,203288.0,202325.0,202971.0,202650.0,203972.0,203315.0,205289.0,204298.0,202971.0,202325.0,203306.0,203315.0,202981.0,209235.0,204316.0,205943.0,206836.0,202545.0,205397.0,205008.0,203687.0,203352.0,210896.0,234854.0,290446.0,326578.0,363859.0,372806.0,393438.0,399140.0,392813.0,402499.0,402842.0,402971.0,402659.0,315979.0,307144.0,331592.0,317904.0,224063.0,233960.0,273009.0,233721.0,141741.0,12281163.0,2025/07/24 15:30:13
2V403,東北,東北電力東新潟火力発電所４号系列,４-２号系列,火力（ガス）,2025-07-23,192382.0,193110.0,192517.0,192288.0,192588.0,192596.0,192288.0,192906.0,192315.0,193587.0,192639.0,192622.0,192288.0,192596.0,192605.0,193587.0,193268.0,194637.0,192639.0,193314.0,194212.0,195727.0,192801.0,192376.0,192965.0,192648.0,192430.0,207567.0,258174.0,295288.0,327570.0,339448.0,353109.0,358832.0,355494.0,364117.0,365504.0,363752.0,363470.0,288586.0,278777.0,301269.0,289537.0,206526.0,210564.0,244733.0,212296.0,132097.0,11326641.0,2025/07/24 15:30:13
6AQR25002,東北,福島天然ガス発電所,1号機,火力（ガス）,2025-07-23,256315.0,258038.0,256982.0,256944.0,256929.0,256954.0,256987.0,258008.0,257054.0,256040.0,201170.0,196228.0,210316.0,210303.0,174109.0,191489.0,256373.0,253857.0,254216.0,253179.0,253958.0,252804.0,253977.0,251791.0,251403.0,252427.0,252577.0,251415.0,250478.0,252305.0,251562.0,251602.0,252957.0,251169.0,250158.0,252432.0,255655.0,255554.0,257579.0,254884.0,256643.0,254973.0,256703.0,257080.0,258437.0,258448.0,258604.0,258650.0,11887716.0,2025/07/24 15:30:13
